Course ID,Course code,Course number,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Key,Faculty,Department,Program,Level,Degree,Title,Description,Metadata,Type,Website
53,ACCO,330,Cost and Management Accounting,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A",UGRD,ACCO 303 = ACCO 330,JMSB_1,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Cost and Management Accounting,"This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.",Laboratory/Clinics;Case studies,Course-integrated,No website provided
58,ACCO,355,Analysis of Financial Statements,3.0,LEC,Lecture,The following courses must be completed previously: COMM 305; COMM 308 or COMM 309,UGRD,,JMSB_2,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Analysis of Financial Statements,Real life accounting case discussions and a project based on a real company,Case studies,Course-integrated,No website provided
60,ACCO,400,Accounting Theory,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461",UGRD,ACCO 400 = ACCO 461,JMSB_156,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Accounting in Society / Accounting Theory,"Research-based group project, written report, and recorded presentation",Case studies;Laboratory/Clinics,Course-integrated;Research-based;,No website provided
86,ACCO,420,Financial Reporting III,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480",UGRD,ACCO 335 = ACCO 420,JMSB_3,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Financial Reporting III,All consolidation and foreign currency translation done using Excel worksheets as would be done in reality; case analysis done for all topics.,Laboratory/Clinics;Case studies,Course-integrated,No website provided
89,ACCO,425,FINANCIAL REPORTING IV,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410",UGRD,,JMSB_4,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Financial Reporting IV,Prepare financial statements for a fictitious company,Laboratory/Clinics;Case studies,Course-integrated,No website provided
97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,3.0,LEC,Lecture,"Course Prerequisite: ACCO320, ACCO330; Course Corequisite: COMM401",UGRD,ACCO 435 = ACCO 470A,JMSB_6,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Strategic Accounting Case Analysis,Comprehensive multi-subject strategic cases analysis (individual and group levels),Case studies,Course-integrated,No website provided
106,ACCO,455,Fraud Prevention and Investigation,3.0,LEC,Lecture,"Course Prerequisite: COMM315 or COMM 316 and One of  following 
(COMM217, ACCO230)",UGRD,ACCO 455 = ACCO 470F,JMSB_7,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Fraud Prevention and Investigation,"Real‑life fraud case analyses, discussions and presentations",Case studies,Course-integrated,No website provided
109,ACCO,465,Advanced Assurance Services,3.0,LEC,Lecture,Course Prerequisite: One of (ACCO 360 or 450) and ACCO 320; Never Taken  ACCO470,UGRD,ACCO 465 = ACCO 470D,JMSB_8,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Advanced Assurance Services,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors.",Case studies,Course-integrated,No website provided
178,ACCO,651,FINANCIAL REPORTING:COMP APP,4.0,LEC,Lecture,,GRAD,,JMSB_158,JMSB,Accountancy,CPA Program,Graduate,GDIP,Financial Reporting: Comprehensive Applications,Case Analysis,,Course-integrated,No website provided
43001,ACCO,650,FINA REPORTING IN PRACTICE,4.0,LEC,Lecture,Students who have taken ACCO 612 and ACCO 643 may not take this course for credit,GRAD,,JMSB_157,JMSB,Accountancy,CPA Program,Graduate,GDIP,Financial Reporting in Practice,Case Analysis,,Course-integrated,No website provided
44004,ACCO,653,INFO SYS/INTERNAL CONTROL,4.0,LEC,Lecture,"Course Prerequisite: ACCO650, ACCO651",GRAD,,JMSB_160,JMSB,Accountancy,CPA Program,Graduate,GDIP,Information Systems and Internal Control,Case Analysis,,Course-integrated,No website provided
45085,ACCO,652,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,"Course Prerequisite: ACCO650, AntiReq ACCO631",GRAD,,JMSB_159,JMSB,Accountancy,CPA Program,Graduate,GDIP,Business Advisory Services,Case Analysis and Fictitious BOD Group Presentation,,Course-integrated,No website provided
47353,ACCO,655,Taxation and Decision-Making,4.0,LEC,Lecture,PRE-REQ ACCO 650 and ACCO 651. Anti-Req ACCO 643,GRAD,,JMSB_162,JMSB,Accountancy,CPA Program,Graduate,GDIP,Taxation and Decision-Making,Case Analysis,,Course-integrated,No website provided
47360,ACCO,658,Capstone I Seminar,2.0,LEC,Lecture,"Prerequisite: ACCO 650, 651, 652, 653 and two elective courses",GRAD,,JMSB_165,JMSB,Accountancy,CPA Program,Graduate,GDIP,Capstone I Seminar,"Group Case Analysis, Written Report, and Fictitious BOD Group Presentation",,Course-integrated,No website provided
47363,ACCO,659,Capstone II Examination Preparation,4.0,LEC,Lecture,Co-requisite: ACCO 658 or ACCO 658T or ACCO 608,GRAD,,JMSB_166,JMSB,Accountancy,CPA Program,Graduate,GDIP,Capstone II Examination Preparation,Case Analysis,,Course-integrated,No website provided
47367,ACCO,654,Assurance and Professional Practice,4.0,LEC,Lecture,"COURSE PRE-REQ ACCO 650, ACCO 651, ACCO 653. Anti-Req ACCO 635",GRAD,,JMSB_161,JMSB,Accountancy,CPA Program,Graduate,GDIP,Assurance and Professional Practice,Case Analysis,,Course-integrated,No website provided
47369,ACCO,656,Performance Management,4.0,LEC,Lecture,COURSE PREREQ ACCO 652 and ACCO 653,GRAD,,JMSB_163,JMSB,Accountancy,CPA Program,Graduate,GDIP,Performance Management,Case Analysis and Fictitious BOD Group Presentation,,Course-integrated,No website provided
47371,ACCO,657,Financial Strategies and Decisions,4.0,LEC,Lecture,COURSE PREREQ ACCO 652 and ACCO 651,GRAD,,JMSB_164,JMSB,Accountancy,CPA Program,Graduate,GDIP,Financial Strategies and Decisions,Case Analysis,,Course-integrated,No website provided
48619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,6.0,LEC,Lecture,Course Prerequisite: ACCO 400 and Enrolment in the honours program,UGRD,,JMSB_9,JMSB,Accountancy,Accountancy,Undergraduate,Bachelor,Honours Seminar in Accountancy,Writing a teaching case and solution or conducting an applied research project,Case studies,Course-integrated;Research-based;,No website provided
47731,ACTT,231,Ensemble I,3.0,LAB,Laboratory,,UGRD,TPER 298 = ACTT 231,FFA_566,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Ensembles l,Preparation for theatrical presentation with emphasis on the co‑operative nature of theatre,Artistic performances/exhibits,Course-integrated,No website provided
47731,ACTT,231,Ensemble I,3.0,STU,Studio,,UGRD,TPER 298 = ACTT 231,FFA_566,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Ensembles l,Preparation for theatrical presentation with emphasis on the co‑operative nature of theatre,Artistic performances/exhibits,Course-integrated,No website provided
47732,ACTT,332,Improvisation,3.0,STU,Studio,Prerequisite ACTT 332,UGRD,,FFA_570,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Improvisation,Introduction to improvisation as a method of creation for the stage,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47733,ACTT,432,Rasaboxes,3.0,STU,Studio,Prerequisite ACTT 432,UGRD,TPER 398F = ACTT 432,FFA_579,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Rasa Boxes,Course provides an intensive introduction to the performance of emotion,Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47734,ACTT,436,One-Act Project,3.0,LAB,Laboratory,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,,FFA_581,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,One Act Project,Public production of a one-act text from the worldwide body of dramatic literature,Artistic performances/exhibits;Capstone project,Course-integrated,No website provided
47734,ACTT,436,One-Act Project,3.0,STU,Studio,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,,FFA_581,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,One Act Project,Public production of a one-act text from the worldwide body of dramatic literature,Artistic performances/exhibits;Capstone project,Course-integrated,No website provided
47735,ACTT,440,Supervised Acting Performance Project,3.0,LAB,Laboratory,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,,FFA_582,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Supervised Acting Performance Project,Work in self‑selected teams to develop short projects,Artistic performances/exhibits;Capstone project,Course-integrated,No website provided
47735,ACTT,440,Supervised Acting Performance Project,3.0,STU,Studio,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,,FFA_582,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Supervised Acting Performance Project,Work in self‑selected teams to develop short projects,Artistic performances/exhibits;Capstone project,Course-integrated,No website provided
47738,ACTT,450,Advanced Acting Studio,3.0,LAB,Laboratory,"Prerequisite: ACTT 321, 325",UGRD,,FFA_583,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Advanced Acting Studio,Provides advanced students with the opportunity to apply their skills to text study and character development,Capstone project;Artistic performances/exhibits,Course-integrated,No website provided
47738,ACTT,450,Advanced Acting Studio,3.0,STU,Studio,"Prerequisite: ACTT 321, 325",UGRD,,FFA_583,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Advanced Acting Studio,Provides advanced students with the opportunity to apply their skills to text study and character development,Capstone project;Artistic performances/exhibits,Course-integrated,No website provided
47740,ACTT,480,Designing an Acting Workshop,3.0,STU,Studio,,UGRD,TDEV 498 = ACTT 480,FFA_588,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Designing an Acting Workshop,"Opportunity to design a course framework under the guidance of the instructor that includes curriculum, implementation, and assessment for students",Hands-on workshops,Course-integrated,No website provided
47741,ACTT,481,Conducting an Acting Workshop,3.0,LAB,Laboratory,,UGRD,TDEV 498 = ACTT 481,FFA_589,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Conducting Acting Workshop,"Conducting an acting workshop: active observation, instructional strategies to deliver the curriculum, and assessment",Hands-on workshops;Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47741,ACTT,481,Conducting an Acting Workshop,3.0,STU,Studio,,UGRD,TDEV 498 = ACTT 481,FFA_589,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Conducting Acting Workshop,"Conducting an acting workshop: active observation, instructional strategies to deliver the curriculum, and assessment",Hands-on workshops;Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47760,ACTT,460,Classical Text Project,3.0,LAB,Laboratory,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,PROD 411 = ACTT 460,FFA_586,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Classical Text Project,Production of an iconic text from the worldwide body of dramatic literature,Capstone project,Course-integrated,No website provided
47760,ACTT,460,Classical Text Project,3.0,STU,Studio,"Prerequisite: The following courses must be completed previously: FFAR 250 or 248 & 249;
PERC 211, PERC 212. Permission of the Department of Theatre is required.",UGRD,PROD 411 = ACTT 460,FFA_586,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Classical Text Project,Production of an iconic text from the worldwide body of dramatic literature,Capstone project,Course-integrated,No website provided
47761,ACTT,465,THE ACTOR'S PROFESSION,3.0,LAB,Laboratory,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465,FFA_587,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,The Actor's Profession,"Development of audition technique, on camera technique, interview skills, and other career-oriented skills",Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47761,ACTT,465,THE ACTOR'S PROFESSION,3.0,STU,Studio,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465,FFA_587,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,The Actor's Profession,"Development of audition technique, on camera technique, interview skills, and other career-oriented skills",Artistic performances/exhibits;Games/Role-playing,Course-integrated,No website provided
47848,ACTT,201,Introduction to Acting I,3.0,LAB,Laboratory,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,FFA_561,FFA,Theatre,Acting for the Theatre,Undergraduate,Bachelor,Introduction to Acting,Development of imagination and physical expression,Artistic performances/exhibits,Course-integrated,No website provided
