"course_code","course_number","website"
"BLDG","390","https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html"
"BLDG","6071","https://www.concordia.ca/ginacody/engineering-in-society/programs/undergraduate-courses/honours-research-project.html"
"BLDG","6111","https://www.concordia.ca/ginacody/info-systems-eng/research/labs/computer-security-laboratory.html"
"BLDG","6241","https://www.concordia.ca/research/zero-energy-building/facilities/labs-equipment.html"
"BLDG","6561","https://www.concordia.ca/research/zero-energy-building/facilities/labs-equipment.html"
"BLDG","6571","http://www.concordiasae.ca/"
"BLDG","6581","http://www.poullis.org/games/"
"BLDG","6591","http://www.spaceconcordia.ca/"
"BLDG","6601","http://www.uavconcordia.ca/"
"BLDG","6611","https://cubes.ecaconcordia.ca/"
"BLDG","6621","https://ecaconcordia.ca/"
"BLDG","6641","https://ecaconcordia.ca/societies/enggames"
"BLDG","6651","https://madiba.encs.concordia.ca/"
"BLDG","6661","https://montreal.ubisoft.com/en/game-lab-competition/"
"BLDG","6701","https://users.encs.concordia.ca/~design/"
"BLDG","6721","https://users.encs.concordia.ca/~dolat/"
"BLDG","6731","https://users.encs.concordia.ca/~mpackir/"
"BLDG","6741","https://users.encs.concordia.ca/~tse/"
"BLDG","6751","https://www.casi.ca/others/branches/concordia-university-branch/"
"BLDG","6781","https://www.concordia.ca/ginacody/building-civil-environmental-eng/research/construction-engineering-management.html"
"BLDG","6791","https://www.concordia.ca/ginacody/mechanical-industrial-aerospace-eng/research/electrochemical-green-eng.html"
"BLDG","6801","https://www.concordia.ca/ginacody/programs/summer-camps/girlset.html"
"BLDG","6851","https://www.concordia.ca/ginacody/programs/summer-camps/science-engineering-camp.html"
"BLDG","6861","https://www.concordia.ca/research/composites/facilities.html"
"BLDG","6951","https://www.concordia.ca/research/water-energy.html"
"BLDG","7601","https://www.engcomm.ca/about-us/"
"BLDG","7811","https://www.facebook.com/ewbconu/"
"BLDG","7831","https://www.facebook.com/groups/6346382844/about/"
"BLDG","7841","https://www.facebook.com/groups/scsconcordia/about/"
"BTM","633","https://www.concordia.ca/jmsb/mba/program/curriculum/supply-chain-btm-electives.html"
"CHST","605","https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#DipInstrTech"
"MANA","684","https://www.concordia.ca/jmsb/mba/program/curriculum/management-electives.html"
"MBA","642","https://www.concordia.ca/jmsb/mba/program/curriculum/courses.html#MBA-642"
"MBA","644","https://www.concordia.ca/jmsb/mba/program/curriculum/courses.html#MBA-644"
"MBA","645","https://www.concordia.ca/jmsb/mba/program/curriculum/courses.html#MBA-645"
"MBA","647","https://www.concordia.ca/jmsb/mba/program/curriculum/courses.html#MBA-647"
"MBA","649","https://www.concordia.ca/jmsb/mba/program/curriculum/courses.html#MBA-649"
"MBA","650","https://www.concordia.ca/jmsb/mba/program/curriculum/courses.html#MBA-650"
"MBA","657","https://www.concordia.ca/jmsb/mba/program/curriculum/experiential-learning-electives.html"
"MBA","658","https://www.concordia.ca/jmsb/mba/program/experiential-learning/van-berkom.html"
"MBA","659","https://www.concordia.ca/jmsb/mba/program/experiential-learning/case-competitions.html"
"MBA","660","https://www.concordia.ca/jmsb/mba/program/curriculum/experiential-learning-electives.html"
"MBA","662","https://www.concordia.ca/jmsb/programs/graduate/mba/program-details/option-1/elective-courses311.html"
"MBA","695","https://www.concordia.ca/jmsb/mba/program/curriculum/experiential-learning-electives.html"
"POLI","693","https://www.concordia.ca/artsci/polisci/programs/graduate/mpppa-public-policy-administration/internship.html"
